Operação,Tipo,No. Invoice,Incoterm,ID País Origem,País Origem,ID País Destino,Local Destino,ID Operador Logístico,Doc. Embarque (AWB / BL),Peso (kg),Volume (cbm),Tipo de serviço,Data da Coleta,Data da Entrega,Prazo Realizado,Prazo Contratado,Status Entrega,Cód. Exceção
Exportação,Aéreo,980710,EXW,BR,Brazil,JP,Tokyo,1147,AWB-161733,3341,8,EXPRESS,"sexta-feira, 29 de dezembro de 2023","quarta-feira, 03 de janeiro de 2024",1,1,No Prazo,E02
Exportação,Marítimo,980992,EXW,BR,Brazil,US,Los Angeles,1146,BL-132938,482,1,STANDARD,"sábado, 04 de fevereiro de 2023","quarta-feira, 01 de março de 2023",1,3,No Prazo,
Exportação,Marítimo,980592,DDP,BR,Brazil,US,Miami,1147,BL-349565,3048,12,STANDARD,"segunda-feira, 06 de fevereiro de 2023","sexta-feira, 17 de fevereiro de 2023",3,4,No Prazo,
Exportação,Marítimo,980564,DDP,BR,Brazil,CN,Guangzhou,1148,BL-324643,2427,15,EXPRESS,"sábado, 09 de dezembro de 2023","segunda-feira, 22 de janeiro de 2024",3,3,No Prazo,
Exportação,Marítimo,980808,EXW,BR,Brazil,US,Chicago,1147,BL-698782,1656,4,STANDARD,"quinta-feira, 09 de março de 2023","domingo, 26 de março de 2023",2,3,No Prazo,
Exportação,Marítimo,980317,CIF,BR,Brazil,CN,Tianjin,1146,BL-922733,776,2,EXPRESS,"quinta-feira, 31 de agosto de 2023","sexta-feira, 29 de setembro de 2023",3,5,No Prazo,
Exportação,Marítimo,980264,FOB,BR,Brazil,GB,Manchester,1148,BL-198907,201,1,STANDARD,"sexta-feira, 28 de julho de 2023","sexta-feira, 25 de agosto de 2023",1,1,No Prazo,E03
Exportação,Marítimo,980512,FOB,BR,Brazil,DE,Hamburg,1146,BL-471507,380,2,STANDARD,"segunda-feira, 04 de dezembro de 2023","terça-feira, 26 de dezembro de 2023",4,3,Atraso,
Exportação,Marítimo,980550,FOB,BR,Brazil,CN,Shenzhen,1148,BL-864491,18015,50,EXPRESS,"domingo, 30 de julho de 2023","sábado, 12 de agosto de 2023",3,4,No Prazo,
Exportação,Marítimo,980742,FOB,BR,Brazil,AR,Buenos Aires,1148,BL-777568,683,4,STANDARD,"segunda-feira, 11 de dezembro de 2023","terça-feira, 02 de janeiro de 2024",3,4,No Prazo,
Exportação,Aéreo,980486,EXW,BR,Brazil,CN,Shanghai,1146,AWB-863587,128,1,STANDARD,"quarta-feira, 01 de fevereiro de 2023","terça-feira, 07 de fevereiro de 2023",2,2,No Prazo,
Exportação,Aéreo,980329,FOB,BR,Brazil,NL,Amsterdam,1146,AWB-300896,677,2,STANDARD,"sábado, 25 de fevereiro de 2023","quinta-feira, 02 de março de 2023",1,2,No Prazo,
Exportação,Aéreo,980535,EXW,BR,Brazil,MX,Mexico City,1146,AWB-246991,111,1,STANDARD,"segunda-feira, 02 de outubro de 2023","sábado, 07 de outubro de 2023",2,2,No Prazo,
Exportação,Marítimo,980362,EXW,BR,Brazil,CN,Shenzhen,1148,BL-585100,77,1,STANDARD,"terça-feira, 04 de abril de 2023","segunda-feira, 08 de maio de 2023",3,4,No Prazo,
Exportação,Marítimo,980531,EXW,BR,Brazil,ES,Barcelona,1148,BL-947272,5482,25,ECONOMY,"quarta-feira, 08 de fevereiro de 2023","quarta-feira, 22 de março de 2023",2,3,No Prazo,E01
Exportação,Aéreo,980746,CIF,BR,Brazil,AR,Buenos Aires,1146,AWB-666847,154,1,EXPRESS,"quinta-feira, 26 de janeiro de 2023","terça-feira, 31 de janeiro de 2023",8,3,Atraso,
Exportação,Aéreo,981028,DDP,BR,Brazil,US,New York,1146,AWB-890170,3291,10,STANDARD,"sexta-feira, 17 de fevereiro de 2023","sábado, 25 de fevereiro de 2023",7,5,Atraso,E03
Exportação,Aéreo,980497,FOB,BR,Brazil,CN,Beijing,1148,AWB-609231,201,1,STANDARD,"segunda-feira, 27 de março de 2023","sábado, 01 de abril de 2023",1,3,No Prazo,
Exportação,Marítimo,980967,CIF,BR,Brazil,JP,Kobe,1146,BL-520521,2616,12,STANDARD,"quinta-feira, 20 de abril de 2023","segunda-feira, 15 de maio de 2023",3,5,No Prazo,
Exportação,Aéreo,980471,CIF,BR,Brazil,AR,Buenos Aires,1147,AWB-102260,334,1,STANDARD,"domingo, 26 de março de 2023","sexta-feira, 31 de março de 2023",3,4,No Prazo,E01
Exportação,Marítimo,981032,CIF,BR,Brazil,US,Houston,1146,BL-922157,819,2,STANDARD,"terça-feira, 16 de maio de 2023","sábado, 17 de junho de 2023",1,2,No Prazo,
Exportação,Marítimo,980518,CIF,BR,Brazil,US,Houston,4090,BL-830429,15566,39,STANDARD,"sábado, 27 de maio de 2023","terça-feira, 27 de junho de 2023",2,2,No Prazo,
Exportação,Aéreo,980763,EXW,BR,Brazil,US,Atlanta,1147,AWB-853305,11404,49,STANDARD,"quinta-feira, 12 de outubro de 2023","sábado, 14 de outubro de 2023",10,5,Atraso,
Exportação,Marítimo,980281,FOB,BR,Brazil,US,Houston,1148,BL-411120,34,1,STANDARD,"terça-feira, 21 de março de 2023","terça-feira, 25 de abril de 2023",2,4,No Prazo,
Exportação,Marítimo,980681,EXW,BR,Brazil,AR,Córdoba,4089,BL-871476,3221,11,STANDARD,"segunda-feira, 30 de janeiro de 2023","segunda-feira, 06 de março de 2023",2,2,No Prazo,
Exportação,Marítimo,980854,FOB,BR,Brazil,CN,Tianjin,4089,BL-428838,1545,9,STANDARD,"quarta-feira, 01 de fevereiro de 2023","sexta-feira, 03 de março de 2023",8,4,Atraso,
Exportação,Marítimo,980688,FOB,BR,Brazil,US,New York,1148,BL-599948,738,2,STANDARD,"quinta-feira, 26 de janeiro de 2023","sexta-feira, 17 de fevereiro de 2023",1,2,No Prazo,
Exportação,Marítimo,980252,EXW,BR,Brazil,CN,Tianjin,4089,BL-159642,531,2,STANDARD,"sexta-feira, 29 de setembro de 2023","domingo, 22 de outubro de 2023",3,4,No Prazo,
Exportação,Marítimo,980963,EXW,BR,Brazil,DE,Berlin,4090,BL-294851,743,2,STANDARD,"sábado, 11 de fevereiro de 2023","segunda-feira, 06 de março de 2023",9,4,Atraso,
Exportação,Aéreo,980162,CIF,BR,Brazil,US,New York,1148,AWB-808011,2095,10,STANDARD,"quarta-feira, 01 de novembro de 2023","terça-feira, 07 de novembro de 2023",6,3,Atraso,E04
Exportação,Marítimo,980216,EXW,BR,Brazil,CN,Beijing,1148,BL-697347,736,2,EXPRESS,"quarta-feira, 26 de julho de 2023","quarta-feira, 06 de setembro de 2023",4,3,Atraso,E06
Exportação,Aéreo,980703,FOB,BR,Brazil,AR,Córdoba,1148,AWB-141672,392,1,STANDARD,"terça-feira, 24 de outubro de 2023","segunda-feira, 30 de outubro de 2023",2,4,No Prazo,
Exportação,Marítimo,980525,CIF,BR,Brazil,US,Chicago,1148,BL-789305,9382,24,EXPRESS,"sábado, 11 de fevereiro de 2023","quarta-feira, 08 de março de 2023",7,5,Atraso,
Exportação,Marítimo,980306,FOB,BR,Brazil,JP,Yokohama,1148,BL-802258,480,2,STANDARD,"domingo, 14 de maio de 2023","domingo, 04 de junho de 2023",1,2,No Prazo,
Exportação,Marítimo,980342,EXW,BR,Brazil,US,Atlanta,4089,BL-378517,1591,10,STANDARD,"sábado, 10 de junho de 2023","quinta-feira, 06 de julho de 2023",10,4,Atraso,
Exportação,Aéreo,980786,CIF,BR,Brazil,US,Houston,1146,AWB-776856,627,2,EXPRESS,"quinta-feira, 09 de março de 2023","segunda-feira, 13 de março de 2023",3,4,No Prazo,
Exportação,Marítimo,980423,FOB,BR,Brazil,CN,Guangzhou,1146,BL-888387,808,2,STANDARD,"quarta-feira, 23 de agosto de 2023","quarta-feira, 20 de setembro de 2023",2,2,No Prazo,E01
Exportação,Marítimo,980570,FOB,BR,Brazil,ES,Madrid,4090,BL-751332,15918,95,EXPRESS,"quinta-feira, 05 de janeiro de 2023","segunda-feira, 16 de janeiro de 2023",1,2,No Prazo,
Exportação,Aéreo,980177,EXW,BR,Brazil,CN,Tianjin,1146,AWB-663750,568,2,STANDARD,"terça-feira, 21 de fevereiro de 2023","terça-feira, 28 de fevereiro de 2023",8,6,Atraso,
Exportação,Marítimo,980374,EXW,BR,Brazil,US,Los Angeles,4089,BL-238890,854,3,STANDARD,"domingo, 17 de setembro de 2023","quarta-feira, 27 de setembro de 2023",2,4,No Prazo,
Exportação,Marítimo,981004,EXW,BR,Brazil,ES,Valencia,1147,BL-356150,970,5,EXPRESS,"domingo, 05 de fevereiro de 2023","domingo, 26 de fevereiro de 2023",3,5,No Prazo,
Exportação,Aéreo,980266,CIF,BR,Brazil,DE,Frankfurt,1146,AWB-559469,2815,15,STANDARD,"sexta-feira, 26 de maio de 2023","terça-feira, 30 de maio de 2023",1,2,No Prazo,E03
Exportação,Aéreo,980415,CIF,BR,Brazil,US,Chicago,1148,AWB-741390,1651,6,STANDARD,"quarta-feira, 27 de dezembro de 2023","sábado, 30 de dezembro de 2023",1,2,No Prazo,
Exportação,Marítimo,980943,FOB,BR,Brazil,BE,Antwerp,1147,BL-681542,4042,11,STANDARD,"sexta-feira, 08 de dezembro de 2023","quinta-feira, 04 de janeiro de 2024",4,3,Atraso,E01
Exportação,Aéreo,980214,FOB,BR,Brazil,US,Miami,1148,AWB-240814,558,3,STANDARD,"quarta-feira, 06 de dezembro de 2023","quarta-feira, 13 de dezembro de 2023",1,2,No Prazo,
Exportação,Marítimo,981020,DDP,BR,Brazil,AR,Rosario,1147,BL-212235,603,1,STANDARD,"quarta-feira, 01 de março de 2023","terça-feira, 28 de março de 2023",2,2,No Prazo,
Exportação,Marítimo,980398,EXW,BR,Brazil,AR,Córdoba,1147,BL-734210,896,5,STANDARD,"sábado, 20 de maio de 2023","quinta-feira, 22 de junho de 2023",2,3,No Prazo,
Exportação,Marítimo,980319,CIF,BR,Brazil,US,Los Angeles,1146,BL-820892,51348,168,EXPRESS,"domingo, 25 de junho de 2023","segunda-feira, 17 de julho de 2023",3,5,No Prazo,
Exportação,Aéreo,980629,FOB,BR,Brazil,MX,Monterrey,1148,AWB-612262,2106,7,STANDARD,"terça-feira, 16 de maio de 2023","quinta-feira, 18 de maio de 2023",3,5,No Prazo,
Exportação,Aéreo,980207,DDP,BR,Brazil,US,Miami,1148,AWB-765095,914,2,STANDARD,"sexta-feira, 27 de janeiro de 2023","terça-feira, 31 de janeiro de 2023",1,2,No Prazo,E02
Exportação,Marítimo,980159,FOB,BR,Brazil,ES,Bilbao,1147,BL-103717,847,2,STANDARD,"segunda-feira, 22 de maio de 2023","sexta-feira, 02 de junho de 2023",2,2,No Prazo,
Exportação,Aéreo,980767,EXW,BR,Brazil,DE,Frankfurt,1147,AWB-374680,223,1,STANDARD,"quarta-feira, 08 de março de 2023","sábado, 11 de março de 2023",10,5,Atraso,
Exportação,Marítimo,980680,EXW,BR,Brazil,US,Los Angeles,4089,BL-839945,3228,13,STANDARD,"terça-feira, 15 de agosto de 2023","quarta-feira, 30 de agosto de 2023",1,2,No Prazo,
Exportação,Marítimo,980126,CIF,BR,Brazil,DE,Munich,1147,BL-217308,8903,38,STANDARD,"domingo, 15 de outubro de 2023","terça-feira, 07 de novembro de 2023",1,2,No Prazo,
Exportação,Marítimo,981043,EXW,BR,Brazil,CN,Shanghai,1147,BL-256294,179,1,EXPRESS,"quarta-feira, 20 de dezembro de 2023","quinta-feira, 25 de janeiro de 2024",1,1,No Prazo,
Exportação,Aéreo,980973,FOB,BR,Brazil,DE,Berlin,4089,AWB-487151,219,1,STANDARD,"quinta-feira, 19 de janeiro de 2023","terça-feira, 24 de janeiro de 2023",1,1,No Prazo,
Exportação,Marítimo,980250,CIF,BR,Brazil,CL,Santiago,1148,BL-143860,3363,12,STANDARD,"quarta-feira, 09 de agosto de 2023","domingo, 10 de setembro de 2023",3,5,No Prazo,
Exportação,Aéreo,981041,FOB,BR,Brazil,US,Miami,1146,AWB-934794,229,1,STANDARD,"quinta-feira, 06 de julho de 2023","terça-feira, 11 de julho de 2023",1,3,No Prazo,
Exportação,Marítimo,980337,DDP,BR,Brazil,FR,Paris,4090,BL-815198,9670,61,STANDARD,"segunda-feira, 03 de julho de 2023","sábado, 29 de julho de 2023",1,2,No Prazo,
Exportação,Marítimo,980228,DDP,BR,Brazil,CL,Santiago,4089,BL-470858,377,1,EXPRESS,"sexta-feira, 08 de dezembro de 2023","quinta-feira, 04 de janeiro de 2024",1,1,No Prazo,
Exportação,Aéreo,981121,FOB,BR,Brazil,US,Chicago,1146,AWB-750810,1256,3,EXPRESS,"sexta-feira, 28 de julho de 2023","terça-feira, 01 de agosto de 2023",1,1,No Prazo,
Exportação,Marítimo,981010,CIF,BR,Brazil,CN,Beijing,1146,BL-270395,41916,171,STANDARD,"terça-feira, 02 de maio de 2023","segunda-feira, 05 de junho de 2023",1,1,No Prazo,
Exportação,Marítimo,980151,DDP,BR,Brazil,CN,Beijing,1146,BL-288073,22732,79,EXPRESS,"segunda-feira, 31 de julho de 2023","sexta-feira, 25 de agosto de 2023",2,3,No Prazo,
Exportação,Marítimo,980928,FOB,BR,Brazil,US,Atlanta,1146,BL-531712,75,1,STANDARD,"terça-feira, 20 de junho de 2023","domingo, 23 de julho de 2023",3,5,No Prazo,
Exportação,Marítimo,980401,FOB,BR,Brazil,US,Atlanta,1147,BL-266931,1312,4,STANDARD,"segunda-feira, 08 de maio de 2023","sexta-feira, 26 de maio de 2023",11,6,Atraso,
Exportação,Aéreo,981022,CIF,BR,Brazil,FR,Paris,1148,AWB-140605,74,1,STANDARD,"sábado, 15 de julho de 2023","terça-feira, 18 de julho de 2023",3,5,No Prazo,
Exportação,Aéreo,980334,CIF,BR,Brazil,AR,Mendoza,1147,AWB-956253,970,2,ECONOMY,"segunda-feira, 24 de abril de 2023","sexta-feira, 28 de abril de 2023",1,1,No Prazo,
Exportação,Marítimo,980443,FOB,BR,Brazil,DE,Munich,4089,BL-960394,27591,76,STANDARD,"quinta-feira, 29 de junho de 2023","quarta-feira, 12 de julho de 2023",1,2,No Prazo,
Exportação,Marítimo,980156,EXW,BR,Brazil,JP,Osaka,4089,BL-792094,368,1,STANDARD,"terça-feira, 25 de abril de 2023","quinta-feira, 18 de maio de 2023",1,3,No Prazo,E01
Exportação,Aéreo,980469,FOB,BR,Brazil,AR,Córdoba,1146,AWB-392136,1233,4,STANDARD,"segunda-feira, 24 de julho de 2023","quarta-feira, 26 de julho de 2023",1,2,No Prazo,
